"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,25.5,23
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,24.633301,-27.616699
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Pleistocene","",2.588,0.0117,1.29985,24.633301,-27.616699
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Pleistocene","",2.588,0.0117,1.29985,18,-33
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Late Pleistocene","",0.126,0.0117,0.06885,29.6,-0.135
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,29.6,-0.135
"Chordata","Aves","Galliformes","Phasianidae","Peliperdix","Peliperdix lathami","Holocene","",0.0117,0,0.00585,29.823099,1.2314
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Pleistocene","Holocene",2.588,0,1.294,29.823,1.374
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Pleistocene","Holocene",2.588,0,1.294,33.766701,-4.033
"Chordata","Aves","Sphenisciformes","Spheniscidae","Dege","Dege hendeyi","Late Miocene","",11.608,5.333,8.4705,18.15,-32.976002
"Chordata","Aves","Sphenisciformes","Spheniscidae","Inguza","Inguza predemersus","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila salax","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
"Chordata","Aves","Procellariiformes","Oceanitidae","Oceanites","Oceanites zaloscarthmus","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
"Chordata","Aves","Sphenisciformes","Spheniscidae","Inguza","Inguza predemersus","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila salax","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
"Chordata","Aves","Procellariiformes","Oceanitidae","Oceanites","Oceanites zaloscarthmus","Zanclean","",5.333,3.6,4.4665,18.15,-32.976002
