x
Phocoena dioptrica
Phocoena sinus
Phocoenoides dalli
Phocoena phocoena
Neophocaena phocaenoides
Neophocaena asiaeorientalis
Monodon monoceros
Delphinapterus leucas
Lagenorhynchus acutus
Orcinus orca
Orcaella heinsohni
Orcaella brevirostris
Grampus griseus
Pseudorca crassidens
Peponocephala electra
Feresa attenuata
Globicephala melas
Globicephala macrorhynchus
Steno bredanensis
Sotalia guianensis
Sotalia fluviatilis
Tursiops truncatus
Stenella attenuata
Stenella longirostris
Sousa chinensis
Delphinus delphis
Delphinus capensis
Stenella frontalis
Tursiops aduncus
Stenella coeruleoalba
Stenella clymene
Tursiops australis
Lagenodelphis hosei
Lagenorhynchus obscurus
Lagenorhynchus obliquidens
Lagenorhynchus cruciger
Lagenorhynchus australis
Cephalorhynchus hectori
Cephalorhynchus eutropia
Cephalorhynchus commersonii
Cephalorhynchus heavisidii
Lagenorhynchus albirostris
Berardius bairdii
Berardius arnuxii
Tasmacetus shepherdi
Ziphius cavirostris
Mesoplodon stejnegeri
Hyperoodon planifrons
Hyperoodon ampullatus
Mesoplodon grayi
Mesoplodon densirostris
Mesoplodon europaeus
Mesoplodon layardii
Mesoplodon hectori
Mesoplodon carlhubbsi
Mesoplodon mirus
Mesoplodon traversii
Mesoplodon bidens
Caperea marginata
Eschrichtius robustus
Megaptera novaeangliae
Balaenoptera acutorostrata
Eubalaena glacialis
Eubalaena australis
Eubalaena japonica
Mesoplodon peruvianus
Lissodelphis peronii
Lissodelphis borealis
Balaenoptera physalus
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera edeni
Balaenoptera borealis
Balaenoptera bonaerensis
Balaena mysticetus
Moschiola meminna
Moschiola indica
Tragulus napu
Tragulus kanchil
Tragulus javanicus
Hyemoschus aquaticus
Okapia johnstoni
Giraffa camelopardalis
Antilocapra americana
Muntiacus vuquangensis
Muntiacus truongsonensis
Muntiacus putaoensis
Muntiacus rooseveltorum
Muntiacus reevesi
Muntiacus muntjak
Muntiacus feae
Muntiacus crinifrons
Elaphodus cephalophus
Rucervus schomburgki
Rucervus duvaucelii
Axis porcinus
Axis kuhlii
Axis axis
Rucervus eldii
Elaphurus davidianus
Rusa alfredi
Cervus nippon
Cervus elaphus
Rusa timorensis
Rusa unicolor
Cervus albirostris
Dama mesopotamica
Dama dama
Megaloceros giganteus
Rangifer tarandus
Pudu mephistophiles
Mazama rufina
Mazama temama
Mazama nana
Mazama bororo
Mazama americana
Odocoileus virginianus
Odocoileus hemionus
Mazama pandora
Mazama gouazoubira
Hippocamelus bisulcus
Hippocamelus antisensis
Ozotoceros bezoarticus
Mazama nemorivaga
Blastocerus dichotomus
Pudu puda
Alces americanus
Alces alces
Hydropotes inermis
Capreolus pygargus
Capreolus capreolus
Moschus chrysogaster
Moschus berezovskii
Moschus anhuiensis
Moschus leucogaster
Moschus fuscus
Moschus moschiferus
Tetracerus quadricornis
Boselaphus tragocamelus
Tragelaphus imberbis
Tragelaphus strepsiceros
Tragelaphus scriptus
Tragelaphus spekii
Tragelaphus eurycerus
Tragelaphus oryx
Tragelaphus derbianus
Tragelaphus angasii
Bos frontalis
Bos grunniens
Bos mutus
Bison bison
Bos javanicus
Bos taurus
Bos primigenius
Bos indicus
Bison bonasus
Bos sauveli
Bos gaurus
Syncerus caffer
Bubalus quarlesi
Bubalus depressicornis
Bubalus mindorensis
Bubalus arnee
Pseudoryx nghetinhensis
Aepyceros melampus
Nesotragus moschatus
Neotragus batesi
Raphicerus melanotis
Raphicerus campestris
Raphicerus sharpei
Madoqua saltiana
Madoqua kirkii
Madoqua guentheri
Dorcatragus megalotis
Gazella leptoceros
Gazella cuvieri
Gazella subgutturosa
Gazella bennettii
Gazella gazella
Gazella arabica
Gazella saudiya
Gazella dorcas
Gazella spekei
Antilope cervicapra
Eudorcas thomsonii
Eudorcas rufifrons
Nanger granti
Nanger dama
Nanger soemmerringii
Litocranius walleri
Antidorcas marsupialis
Saiga tatarica
Procapra picticaudata
Procapra przewalskii
Procapra gutturosa
Ourebia ourebi
Oreotragus oreotragus
Neotragus pygmaeus
Philantomba monticola
Philantomba walteri
Philantomba maxwellii
Sylvicapra grimmia
Cephalophus spadix
Cephalophus silvicultor
Cephalophus jentinki
Cephalophus dorsalis
Cephalophus zebra
Cephalophus adersi
Cephalophus leucogaster
Cephalophus rufilatus
Cephalophus nigrifrons
Cephalophus natalensis
Cephalophus harveyi
Cephalophus niger
Cephalophus ogilbyi
Cephalophus callipygus
Cephalophus weynsi
Connochaetes taurinus
Connochaetes gnou
Damaliscus pygargus
Damaliscus lunatus
Beatragus hunteri
Alcelaphus buselaphus
Pantholops hodgsonii
Ovibos moschatus
Naemorhedus griseus
Naemorhedus goral
Naemorhedus caudatus
Naemorhedus baileyi
Capricornis swinhoei
Capricornis sumatraensis
Capricornis milneedwardsii
Capricornis crispus
Rupicapra rupicapra
Rupicapra pyrenaica
Myotragus balearicus
Arabitragus jayakari
Ammotragus lervia
Oreamnos americanus
Budorcas taxicolor
Capra hircus
Capra aegagrus
Capra falconeri
Capra cylindricornis
Capra caucasica
Capra walie
Capra nubiana
Capra pyrenaica
Capra ibex
Capra sibirica
Hemitragus jemlahicus
Pseudois nayaur
Ovis nivicola
Ovis dalli
Ovis canadensis
Ovis orientalis
Ovis aries
Ovis ammon
Nilgiritragus hylocrius
Hippotragus leucophaeus
Hippotragus niger
Hippotragus equinus
Oryx dammah
Oryx leucoryx
Oryx gazella
Oryx beisa
Addax nasomaculatus
Redunca fulvorufula
Redunca redunca
Redunca arundinum
Kobus vardonii
Kobus kob
Kobus megaceros
Kobus leche
Kobus ellipsiprymnus
Pelea capreolus
Rhinopoma muscatellum
Rhinopoma hardwickii
Rhinopoma microphyllum
Rhinopoma hadramauticum
Craseonycteris thonglongyai
Cardioderma cor
Megaderma spasma
Macroderma gigas
Megaderma lyra
Rhinolophus hipposideros
Rhinolophus ruwenzorii
Rhinolophus maclaudi
Rhinolophus ferrumequinum
Rhinolophus clivosus
Rhinolophus hildebrandtii
Rhinolophus smithersi
Rhinolophus cohenae
Rhinolophus mabuensis
Rhinolophus darlingi
Rhinolophus fumigatus
Rhinolophus mossambicus
Rhinolophus eloquens
Rhinolophus capensis
Rhinolophus swinnyi
Rhinolophus simulator
Rhinolophus denti
Rhinolophus xinanzhongguoensis
Rhinolophus mehelyi
Rhinolophus euryale
Rhinolophus blasii
Rhinolophus landeri
Rhinolophus alcyone
Rhinolophus yunanensis
Rhinolophus pearsonii
Rhinolophus subrufus
Rhinolophus arcuatus
Rhinolophus euryotis
Rhinolophus creaghi
Rhinolophus coelophyllus
Rhinolophus shameli
Rhinolophus stheno
Rhinolophus affinis
Rhinolophus thomasi
Rhinolophus sinicus
Rhinolophus rouxii
Rhinolophus pusillus
Rhinolophus lepidus
Rhinolophus cognatus
Rhinolophus borneensis
Rhinolophus philippinensis
Rhinolophus megaphyllus
Rhinolophus virgo
Rhinolophus celebensis
Rhinolophus robinsoni
Rhinolophus paradoxolophus
Rhinolophus marshalli
Rhinolophus siamensis
Rhinolophus macrotis
Rhinolophus rex
Rhinolophus chaseni
Rhinolophus acuminatus
Rhinolophus malayanus
Rhinolophus formosae
Rhinolophus trifoliatus
Rhinolophus sedulus
Rhinolophus luctus
Rhinolophus beddomei
Paratriaenops furculus
Paratriaenops auritus
Rhinonicteris aurantia
Triaenops afer
Triaenops menamena
Triaenops rufus
Triaenops persicus
Cloeotis percivali
Asellia tridens
Hipposideros cyclops
Hipposideros vittatus
Hipposideros gigas
Hipposideros commersoni
Anthops ornatus
Hipposideros caffer
Hipposideros lamottei
Hipposideros ruber
Hipposideros fuliginosus
Hipposideros abae
Hipposideros beatus
Hipposideros speoris
Hipposideros rotalis
Hipposideros khaokhouayensis
Hipposideros pomona
Hipposideros cineraceus
Hipposideros bicolor
Hipposideros ridleyi
Hipposideros halophyllus
Hipposideros ater
Hipposideros fulvus
Hipposideros doriae
